person_id,name,birth_date,death_date,birth_month,birth_day,death_month,death_day,age_at_death_days,age_at_death_years,gender,occupation,birthday_distance,decade
Q12518049,Supeno,1916-06-12,1949-02-24,6,12,2,24,11945,32.7,male,,-108,1940.0
Q28723711,Syam'un,1894-04-05,1949-02-28,4,5,2,28,20052,54.9,male,,-36,1940.0
Q65212167,Kadet Soewoko,1928-01-01,1949-03-09,1,1,3,9,7738,21.2,,,67,1940.0
Q25462593,A.M. Sangadji,1889-06-03,1949-04-20,6,3,4,20,21870,59.9,male,,-44,1940.0
Q4201086,Arie Frederik Lasut,1918-07-06,1949-05-07,7,6,5,7,11263,30.8,male,,-60,1940.0
Q1932130,Miel van Leijden,1885-12-20,1949-06-04,12,20,6,4,23176,63.5,male,,166,1940.0
Q4202141,Sam Ratulangi,1890-11-05,1949-06-30,11,5,6,30,21421,58.6,male,,-128,1940.0
Q4201232,Robert Wolter Mongisidi,1925-02-14,1949-09-05,2,14,9,5,8969,24.6,male,,-162,1940.0
Q12501206,Oey Tjong Hauw,1904-01-20,1950-01-21,1,20,1,21,16803,46.0,male,,1,1950.0
Q20644966,Adolf Gustaaf Lembong,1910-10-19,1950-01-23,10,19,1,23,14341,39.3,male,,96,1950.0
Q2367329,General Soedirman,1916-01-24,1950-01-29,1,24,1,29,12424,34.0,male,,5,1950.0
Q2253449,Ernest Douwes Dekker,1879-10-08,1950-08-28,10,8,8,28,25891,70.9,male,,-41,1950.0
Q19745520,Alwi Abdul Jalil Habibie,1908-08-17,1950-09-03,8,17,9,3,15357,42.0,male,,17,1950.0
Q17410975,R. Syamsudin,1908-01-01,1950-10-15,1,1,10,15,15628,42.8,male,,-78,1950.0
Q4188833,Slamet Rijadi,1927-07-26,1950-11-04,7,26,11,4,8502,23.3,male,,101,1950.0
Q12515628,Sjamsudin Noor,1924-11-05,1950-11-26,11,5,11,26,9517,26.1,male,,21,1950.0
Q19668467,Hok Hoei Kan,1881-01-06,1951-03-01,1,6,3,1,25620,70.1,male,,54,1950.0
Q28355715,Muljono,1923-03-13,1951-04-12,3,13,4,12,10257,28.1,,,30,1950.0
Q25469543,Sulaeman Sastrawinata,1869-02-27,1951-06-16,2,27,6,16,30058,82.3,male,,109,1950.0
